start,Foto_Arbol,Planta_afectada,Tipo_de_Hongo,Tipo_Insecto,Tipo_de_Trampa,_index,Case foto,Codigo foto,Tipo_Insecto5,Clase Tipo_insecto,Tipo insecto detalle,Url foto
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Acaro,1605026167103.jpg,,Tipo_Insecto3,Moscablanca,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026167103.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Monalonium,1605026330989.jpg,,Tipo_Insecto1,_caro,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026330989.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Monalonium,1605026330989.jpg,,Tipo_Insecto2,Monalonium,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026330989.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Monalonium,1605026330989.jpg,,Tipo_Insecto3,Moscablanca,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026330989.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Otros_Insectos_001,1605026397357.jpg,,Tipo_Insecto1,_caro,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026397357.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Otros_Insectos_001,1605026397357.jpg,,Tipo_Insecto2,Monalonium,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026397357.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_Otros_Insectos_001,1605026397357.jpg,,Tipo_Insecto3,Moscablanca,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026397357.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_del_Insecto,1605026463638.jpg,,Tipo_Insecto1,_caro,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026463638.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_del_Insecto,1605026463638.jpg,,Tipo_Insecto2,Monalonium,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026463638.jpg
2020-11-10T11:34:12.126-05:00,1605026089030.jpg,si,,_caro Monalonium Moscablanca,,107174,Foto_del_Insecto,1605026463638.jpg,,Tipo_Insecto3,Moscablanca,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605026463638.jpg
2020-11-10T11:13:35.826-05:00,1605024829861.jpg,si,,_caro Monalonium Moscablanca,,107175,Foto_Acaro,1605024960193.jpg,,Tipo_Insecto1,_caro,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605024960193.jpg
2020-11-10T11:13:35.826-05:00,1605024829861.jpg,si,,_caro Monalonium Moscablanca,,107175,Foto_Acaro,1605024960193.jpg,,Tipo_Insecto2,Monalonium,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605024960193.jpg
2020-11-10T11:13:35.826-05:00,1605024829861.jpg,si,,_caro Monalonium Moscablanca,,107175,Foto_Acaro,1605024960193.jpg,,Tipo_Insecto3,Moscablanca,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605024960193.jpg
2020-11-10T11:13:35.826-05:00,1605024829861.jpg,si,,_caro Monalonium Moscablanca,,107175,Foto_Monalonium,1605025006130.jpg,,Tipo_Insecto1,_caro,https://kc.kobotoolbox.org/attachment/original?media_file=nepturaaguacate/attachments/1605025006130.jpg
